604,604,604,604,604,348,604,604,678,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,459,604,604,348,348,678,604,348,348,604,604,604,604,604,604,604,604,604,604,604,604,604,459,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,348,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,348,604,678,678,604,604,604,604
604,604,604,604,604,604,678,604,678,604,604,604,348,604,604,348,348,604,604,604,604,604,604,604,604,604,348,678,604,604,348,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,348,348,348,604,604,604,348,604,604,604,604,604,604,348,604,604,604,678,604,678,604,604,604,604,678,604,604,604,348,604,604,604,604,604,604,348,604,604,604,604,604,348,459,604,604
604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,348,604,604,604,348,348,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,348,678,604,604,604,604,459,604,604,604,604,604,348,604,604,604,678,348,604,604,604,604,604,449,604,604,604,348,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,678,604,604
604,604,604,604,604,604,604,604,604,604,604,604,348,348,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,348,348,604,604,604,604,604,604,604,604,348,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,449,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,678,348,604,604
348,604,604,604,604,604,604,684,604,604,678,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,348,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,348,604,348,604,604,604,604,604,604,348,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604
604,604,348,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,678,604,348,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,348,604,604,604,604,604,348,604,604,348,604,604,604,604,604,604,604,604,348,604,604,604,348,604,604,604,604,604,604,604,348,604,348,604,604,604,604,604,604,604,604
348,604,604,348,604,348,604,604,348,604,604,604,604,604,604,604,604,348,604,459,348,604,604,459,604,604,604,604,604,678,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,348,348,604,604,604,684,604,604,604,604,604,604,348,604,604,604,678,604,604,604,604,678,604,604,604,604,604,604,604,348,604,678,604,604
604,604,604,459,604,604,604,604,604,604,604,604,604,459,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,449,604,604,348,604,604,348,604,604,604,348,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,678,604,348,604,604,348,678
678,604,604,604,604,604,348,678,348,604,604,604,604,604,678,348,604,604,604,348,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,459,604,604,604,604,604,604,678,348,604,604,604,604,604,604,604,348,604,678,604,604,604,604,604,604,604,604,348,604,348,604,604,604,604,604,348,604,348,604,604,604,604,678,604,678,604,604,459,604,604,604,604,604,604,604,604,604,604,604,604
604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,459,604,604,604,604,604,604,348,604,348,604,604,604,604,604,459,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,348,604,604,604,604,604,348,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,348,604,604,604,604,604,348,604,604,604,604,604,604
604,604,678,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,459,604,604,604,604,604,604,348,604,604,604,459,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,348,604,678,604,604,678,604,604,604,604,348,604,604,604,604,348,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,348
348,604,459,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,348,604,459,678,604,604,348,604,604,348,604,604,678,604,604,348,604,604,604,604,348,604,604,604,604,604,604,684,604,604,348,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604
604,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,678,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,459,348,604,604,604,604,604,604,678,604,459,348,604,604,604,604,604,604,604,604,604,604,604,348,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,459,604,604,604,604,604,604,604,604,604,604,604,604,604,604
604,604,604,604,678,604,604,604,604,604,604,604,604,604,348,348,348,604,604,604,604,348,604,604,348,604,604,678,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,348,604,459,604,604,348,348,604,604,604,604,348,604,604,348,348,604,604,678,604,449,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604
678,604,459,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,459,604,459,604,604,604,604,604,604,459,604,604,604,604,604,604,604,604,348,604,604,459,604,604,604,348,348,604,604,459,604,348,604,348,604,348,604,604,604,348,678,604,604,604,604,604,604,678,604,604,604,348,604,604,604,604,348,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604
348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,348,604,604,684,604,604,604,604,459,604,604,604,604,348,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,459,604,604,604,604,604,604,348,604,604,604,604,678,604,604,348,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348
604,459,604,678,604,604,604,348,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,348,459,604,604,348,604,604,604,604,604,348,604,604,604,678,604,604,604,604,348,604,604,604,604,348,604,604,604,678,604,604,459,348,604,979,604,604,604,604,604,604,604,604,604,604,348,348,348,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604
604,604,604,604,604,604,604,604,348,604,604,604,604,604,678,604,604,604,604,348,604,678,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,678,604,604,604,604,604,678,348,604,604,604,604,604,604,604,604,604,604,604,348,604,348,348,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,684,604,348,348,604,604,604,604,604,348,604,604,604,604,604,348,604,604,604,604,348,604,604
604,348,678,604,604,604,604,604,604,604,678,604,678,604,604,604,604,604,604,604,604,678,459,604,348,678,604,459,604,604,604,348,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,459,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348
604,348,604,604,604,604,348,604,604,604,604,604,604,604,604,604,459,604,604,678,604,604,604,604,348,604,348,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,678,348,604,604,604,604,604,348,604,604,678,604,449,604,604,348,604,604,604,348,678,604,604,604,604,348,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604
604,348,604,604,678,604,604,604,604,604,604,604,604,604,604,604,348,348,348,604,604,348,604,604,348,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,348,604,604,678,459,604,604,604,348,604,604,604,604,348,604,604,604,604,678,604,604,604,604,604,348,604,604,604,604,684,604,604,604,604,604,604,604,604,604,604,604,348,604,604,348,604,604,604,604,678,604,604,604,604,604,604,348,348,604,348
348,604,604,604,678,604,604,348,604,348,348,604,604,604,604,604,604,604,604,678,348,604,604,604,604,604,348,604,604,604,348,604,604,348,604,678,604,348,604,604,604,604,604,348,604,604,604,604,604,604,604,459,348,604,604,604,604,604,604,604,678,604,604,604,604,348,604,604,604,604,459,604,604,604,604,604,604,604,604,449,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604
604,604,604,604,459,604,604,348,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,459,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,348,604,678,604,604,604,604,604,604,604,678,348,604,604,604,604,604,348,348,604,684,678,348,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,678
604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,459,604,459,604,348,459,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,348,604,604,604,604,678,348,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,678,348,604,604,604,604,604,604,604,604,678,604,604,604
604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,678,604,678,604,604,604,604,604,604,678,604,348,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,678,678,604,604,604
604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,678,604,348,604,604,604,604,604,459,604,604,604,604,348,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,678,604,604,604,604,449,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604
348,604,604,604,604,604,604,604,604,604,678,604,678,604,604,604,604,678,604,604,604,604,604,604,678,604,604,604,604,348,604,604,604,348,604,604,604,604,604,348,604,604,604,348,604,604,604,604,678,604,348,678,604,604,604,604,348,604,459,604,604,678,604,604,604,604,604,348,604,604,348,348,604,604,604,604,348,604,604,604,348,348,604,604,604,348,604,678,604,604,604,604,604,604,604,604,604,604,678,604
348,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,459,604,459,604,604,604,348,348,604,604,348,604,604,604,604,348,459,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,459,604,604,678,459,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,684,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604
604,604,604,604,604,604,604,604,604,604,604,678,678,604,604,604,604,604,604,604,604,348,604,604,348,348,604,348,348,604,604,604,604,604,604,604,459,348,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,348,604,604,604
678,604,604,604,604,604,604,604,604,604,604,604,459,604,604,604,678,604,604,459,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,348,604,604,348,604,604,604,604,459,459,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,678,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,348,604,604,604,604,678,348
